TimeKey,Tijdstip,Uur,Minuut
0,00:00:00.0000000,0,0
1,00:01:00.0000000,0,1
2,00:02:00.0000000,0,2
3,00:03:00.0000000,0,3
4,00:04:00.0000000,0,4
5,00:05:00.0000000,0,5
6,00:06:00.0000000,0,6
7,00:07:00.0000000,0,7
8,00:08:00.0000000,0,8
9,00:09:00.0000000,0,9
10,00:10:00.0000000,0,10
11,00:11:00.0000000,0,11
12,00:12:00.0000000,0,12
13,00:13:00.0000000,0,13
14,00:14:00.0000000,0,14
15,00:15:00.0000000,0,15
16,00:16:00.0000000,0,16
17,00:17:00.0000000,0,17
18,00:18:00.0000000,0,18
19,00:19:00.0000000,0,19
20,00:20:00.0000000,0,20
21,00:21:00.0000000,0,21
22,00:22:00.0000000,0,22
23,00:23:00.0000000,0,23
24,00:24:00.0000000,0,24
25,00:25:00.0000000,0,25
26,00:26:00.0000000,0,26
27,00:27:00.0000000,0,27
28,00:28:00.0000000,0,28
29,00:29:00.0000000,0,29
30,00:30:00.0000000,0,30
31,00:31:00.0000000,0,31
32,00:32:00.0000000,0,32
33,00:33:00.0000000,0,33
34,00:34:00.0000000,0,34
35,00:35:00.0000000,0,35
36,00:36:00.0000000,0,36
37,00:37:00.0000000,0,37
38,00:38:00.0000000,0,38
39,00:39:00.0000000,0,39
40,00:40:00.0000000,0,40
41,00:41:00.0000000,0,41
42,00:42:00.0000000,0,42
43,00:43:00.0000000,0,43
44,00:44:00.0000000,0,44
45,00:45:00.0000000,0,45
46,00:46:00.0000000,0,46
47,00:47:00.0000000,0,47
48,00:48:00.0000000,0,48
49,00:49:00.0000000,0,49
50,00:50:00.0000000,0,50
51,00:51:00.0000000,0,51
52,00:52:00.0000000,0,52
53,00:53:00.0000000,0,53
54,00:54:00.0000000,0,54
55,00:55:00.0000000,0,55
56,00:56:00.0000000,0,56
57,00:57:00.0000000,0,57
58,00:58:00.0000000,0,58
59,00:59:00.0000000,0,59
100,01:00:00.0000000,1,0
101,01:01:00.0000000,1,1
102,01:02:00.0000000,1,2
103,01:03:00.0000000,1,3
104,01:04:00.0000000,1,4
105,01:05:00.0000000,1,5
106,01:06:00.0000000,1,6
107,01:07:00.0000000,1,7
108,01:08:00.0000000,1,8
109,01:09:00.0000000,1,9
110,01:10:00.0000000,1,10
111,01:11:00.0000000,1,11
112,01:12:00.0000000,1,12
113,01:13:00.0000000,1,13
114,01:14:00.0000000,1,14
115,01:15:00.0000000,1,15
116,01:16:00.0000000,1,16
117,01:17:00.0000000,1,17
118,01:18:00.0000000,1,18
119,01:19:00.0000000,1,19
120,01:20:00.0000000,1,20
121,01:21:00.0000000,1,21
122,01:22:00.0000000,1,22
123,01:23:00.0000000,1,23
124,01:24:00.0000000,1,24
125,01:25:00.0000000,1,25
126,01:26:00.0000000,1,26
127,01:27:00.0000000,1,27
128,01:28:00.0000000,1,28
129,01:29:00.0000000,1,29
130,01:30:00.0000000,1,30
131,01:31:00.0000000,1,31
132,01:32:00.0000000,1,32
133,01:33:00.0000000,1,33
134,01:34:00.0000000,1,34
135,01:35:00.0000000,1,35
136,01:36:00.0000000,1,36
137,01:37:00.0000000,1,37
138,01:38:00.0000000,1,38
139,01:39:00.0000000,1,39
140,01:40:00.0000000,1,40
141,01:41:00.0000000,1,41
142,01:42:00.0000000,1,42
143,01:43:00.0000000,1,43
144,01:44:00.0000000,1,44
145,01:45:00.0000000,1,45
146,01:46:00.0000000,1,46
147,01:47:00.0000000,1,47
148,01:48:00.0000000,1,48
149,01:49:00.0000000,1,49
150,01:50:00.0000000,1,50
151,01:51:00.0000000,1,51
152,01:52:00.0000000,1,52
153,01:53:00.0000000,1,53
154,01:54:00.0000000,1,54
155,01:55:00.0000000,1,55
156,01:56:00.0000000,1,56
157,01:57:00.0000000,1,57
158,01:58:00.0000000,1,58
159,01:59:00.0000000,1,59
200,02:00:00.0000000,2,0
201,02:01:00.0000000,2,1
202,02:02:00.0000000,2,2
203,02:03:00.0000000,2,3
204,02:04:00.0000000,2,4
205,02:05:00.0000000,2,5
206,02:06:00.0000000,2,6
207,02:07:00.0000000,2,7
208,02:08:00.0000000,2,8
209,02:09:00.0000000,2,9
210,02:10:00.0000000,2,10
211,02:11:00.0000000,2,11
212,02:12:00.0000000,2,12
213,02:13:00.0000000,2,13
214,02:14:00.0000000,2,14
215,02:15:00.0000000,2,15
216,02:16:00.0000000,2,16
217,02:17:00.0000000,2,17
218,02:18:00.0000000,2,18
219,02:19:00.0000000,2,19
220,02:20:00.0000000,2,20
221,02:21:00.0000000,2,21
222,02:22:00.0000000,2,22
223,02:23:00.0000000,2,23
224,02:24:00.0000000,2,24
225,02:25:00.0000000,2,25
226,02:26:00.0000000,2,26
227,02:27:00.0000000,2,27
228,02:28:00.0000000,2,28
229,02:29:00.0000000,2,29
230,02:30:00.0000000,2,30
231,02:31:00.0000000,2,31
232,02:32:00.0000000,2,32
233,02:33:00.0000000,2,33
234,02:34:00.0000000,2,34
235,02:35:00.0000000,2,35
236,02:36:00.0000000,2,36
237,02:37:00.0000000,2,37
238,02:38:00.0000000,2,38
239,02:39:00.0000000,2,39
240,02:40:00.0000000,2,40
241,02:41:00.0000000,2,41
242,02:42:00.0000000,2,42
243,02:43:00.0000000,2,43
244,02:44:00.0000000,2,44
245,02:45:00.0000000,2,45
246,02:46:00.0000000,2,46
247,02:47:00.0000000,2,47
248,02:48:00.0000000,2,48
249,02:49:00.0000000,2,49
250,02:50:00.0000000,2,50
251,02:51:00.0000000,2,51
252,02:52:00.0000000,2,52
253,02:53:00.0000000,2,53
254,02:54:00.0000000,2,54
255,02:55:00.0000000,2,55
256,02:56:00.0000000,2,56
257,02:57:00.0000000,2,57
258,02:58:00.0000000,2,58
259,02:59:00.0000000,2,59
300,03:00:00.0000000,3,0
301,03:01:00.0000000,3,1
302,03:02:00.0000000,3,2
303,03:03:00.0000000,3,3
304,03:04:00.0000000,3,4
305,03:05:00.0000000,3,5
306,03:06:00.0000000,3,6
307,03:07:00.0000000,3,7
308,03:08:00.0000000,3,8
309,03:09:00.0000000,3,9
310,03:10:00.0000000,3,10
311,03:11:00.0000000,3,11
312,03:12:00.0000000,3,12
313,03:13:00.0000000,3,13
314,03:14:00.0000000,3,14
315,03:15:00.0000000,3,15
316,03:16:00.0000000,3,16
317,03:17:00.0000000,3,17
318,03:18:00.0000000,3,18
319,03:19:00.0000000,3,19
320,03:20:00.0000000,3,20
321,03:21:00.0000000,3,21
322,03:22:00.0000000,3,22
323,03:23:00.0000000,3,23
324,03:24:00.0000000,3,24
325,03:25:00.0000000,3,25
326,03:26:00.0000000,3,26
327,03:27:00.0000000,3,27
328,03:28:00.0000000,3,28
329,03:29:00.0000000,3,29
330,03:30:00.0000000,3,30
331,03:31:00.0000000,3,31
332,03:32:00.0000000,3,32
333,03:33:00.0000000,3,33
334,03:34:00.0000000,3,34
335,03:35:00.0000000,3,35
336,03:36:00.0000000,3,36
337,03:37:00.0000000,3,37
338,03:38:00.0000000,3,38
339,03:39:00.0000000,3,39
340,03:40:00.0000000,3,40
341,03:41:00.0000000,3,41
342,03:42:00.0000000,3,42
343,03:43:00.0000000,3,43
344,03:44:00.0000000,3,44
345,03:45:00.0000000,3,45
346,03:46:00.0000000,3,46
347,03:47:00.0000000,3,47
348,03:48:00.0000000,3,48
349,03:49:00.0000000,3,49
350,03:50:00.0000000,3,50
351,03:51:00.0000000,3,51
352,03:52:00.0000000,3,52
353,03:53:00.0000000,3,53
354,03:54:00.0000000,3,54
355,03:55:00.0000000,3,55
356,03:56:00.0000000,3,56
357,03:57:00.0000000,3,57
358,03:58:00.0000000,3,58
359,03:59:00.0000000,3,59
400,04:00:00.0000000,4,0
401,04:01:00.0000000,4,1
402,04:02:00.0000000,4,2
403,04:03:00.0000000,4,3
404,04:04:00.0000000,4,4
405,04:05:00.0000000,4,5
406,04:06:00.0000000,4,6
407,04:07:00.0000000,4,7
408,04:08:00.0000000,4,8
409,04:09:00.0000000,4,9
410,04:10:00.0000000,4,10
411,04:11:00.0000000,4,11
412,04:12:00.0000000,4,12
413,04:13:00.0000000,4,13
414,04:14:00.0000000,4,14
415,04:15:00.0000000,4,15
416,04:16:00.0000000,4,16
417,04:17:00.0000000,4,17
418,04:18:00.0000000,4,18
419,04:19:00.0000000,4,19
420,04:20:00.0000000,4,20
421,04:21:00.0000000,4,21
422,04:22:00.0000000,4,22
423,04:23:00.0000000,4,23
424,04:24:00.0000000,4,24
425,04:25:00.0000000,4,25
426,04:26:00.0000000,4,26
427,04:27:00.0000000,4,27
428,04:28:00.0000000,4,28
429,04:29:00.0000000,4,29
430,04:30:00.0000000,4,30
431,04:31:00.0000000,4,31
432,04:32:00.0000000,4,32
433,04:33:00.0000000,4,33
434,04:34:00.0000000,4,34
435,04:35:00.0000000,4,35
436,04:36:00.0000000,4,36
437,04:37:00.0000000,4,37
438,04:38:00.0000000,4,38
439,04:39:00.0000000,4,39
440,04:40:00.0000000,4,40
441,04:41:00.0000000,4,41
442,04:42:00.0000000,4,42
443,04:43:00.0000000,4,43
444,04:44:00.0000000,4,44
445,04:45:00.0000000,4,45
446,04:46:00.0000000,4,46
447,04:47:00.0000000,4,47
448,04:48:00.0000000,4,48
449,04:49:00.0000000,4,49
450,04:50:00.0000000,4,50
451,04:51:00.0000000,4,51
452,04:52:00.0000000,4,52
453,04:53:00.0000000,4,53
454,04:54:00.0000000,4,54
455,04:55:00.0000000,4,55
456,04:56:00.0000000,4,56
457,04:57:00.0000000,4,57
458,04:58:00.0000000,4,58
459,04:59:00.0000000,4,59
500,05:00:00.0000000,5,0
501,05:01:00.0000000,5,1
502,05:02:00.0000000,5,2
503,05:03:00.0000000,5,3
504,05:04:00.0000000,5,4
505,05:05:00.0000000,5,5
506,05:06:00.0000000,5,6
507,05:07:00.0000000,5,7
508,05:08:00.0000000,5,8
509,05:09:00.0000000,5,9
510,05:10:00.0000000,5,10
511,05:11:00.0000000,5,11
512,05:12:00.0000000,5,12
513,05:13:00.0000000,5,13
514,05:14:00.0000000,5,14
515,05:15:00.0000000,5,15
516,05:16:00.0000000,5,16
517,05:17:00.0000000,5,17
518,05:18:00.0000000,5,18
519,05:19:00.0000000,5,19
520,05:20:00.0000000,5,20
521,05:21:00.0000000,5,21
522,05:22:00.0000000,5,22
523,05:23:00.0000000,5,23
524,05:24:00.0000000,5,24
525,05:25:00.0000000,5,25
526,05:26:00.0000000,5,26
527,05:27:00.0000000,5,27
528,05:28:00.0000000,5,28
529,05:29:00.0000000,5,29
530,05:30:00.0000000,5,30
531,05:31:00.0000000,5,31
532,05:32:00.0000000,5,32
533,05:33:00.0000000,5,33
534,05:34:00.0000000,5,34
535,05:35:00.0000000,5,35
536,05:36:00.0000000,5,36
